Date,Price,Open,High,Low,Vol.,Change %
10/25/2024,1680.0,1695.0,1710.0,1645.0,31110000.0,-0.88%
10/24/2024,1695.0,1645.0,1720.0,1620.0,62790000.0,3.35%
10/23/2024,1640.0,1580.0,1640.0,1570.0,35350000.0,4.13%
10/22/2024,1575.0,1550.0,1575.0,1535.0,21420000.0,-1.87%
10/21/2024,1605.0,1610.0,1630.0,1590.0,22170000.0,-0.31%
10/18/2024,1610.0,1600.0,1610.0,1590.0,11230000.0,0.94%
10/17/2024,1595.0,1615.0,1635.0,1590.0,24010000.0,-1.24%
10/16/2024,1615.0,1610.0,1640.0,1610.0,40050000.0,0.31%
10/15/2024,1610.0,1550.0,1615.0,1540.0,50900000.0,4.21%
10/14/2024,1545.0,1520.0,1560.0,1510.0,28700000.0,3.69%
10/11/2024,1490.0,1505.0,1520.0,1485.0,11040000.0,-1.00%
10/10/2024,1505.0,1465.0,1510.0,1450.0,31520000.0,3.08%
10/09/2024,1460.0,1475.0,1480.0,1455.0,7780000.0,-1.02%
10/08/2024,1475.0,1470.0,1485.0,1455.0,12720000.0,0.34%
10/07/2024,1470.0,1465.0,1470.0,1445.0,8790000.0,1.73%
10/04/2024,1445.0,1455.0,1465.0,1435.0,7070000.0,-0.69%
10/03/2024,1455.0,1435.0,1455.0,1425.0,5280000.0,1.39%
10/02/2024,1435.0,1450.0,1455.0,1415.0,13330000.0,-0.35%
10/01/2024,1440.0,1440.0,1455.0,1430.0,5420000.0,0.00%
09/30/2024,1440.0,1460.0,1465.0,1435.0,15330000.0,-1.03%
09/27/2024,1455.0,1440.0,1460.0,1430.0,28570000.0,1.75%
09/26/2024,1430.0,1510.0,1525.0,1415.0,77790000.0,-5.30%
09/25/2024,1510.0,1565.0,1570.0,1485.0,31730000.0,-3.51%
09/24/2024,1565.0,1540.0,1570.0,1540.0,17080000.0,1.62%
09/23/2024,1540.0,1560.0,1575.0,1540.0,10980000.0,-1.28%
09/20/2024,1560.0,1540.0,1565.0,1535.0,18670000.0,0.97%
09/19/2024,1545.0,1550.0,1555.0,1540.0,10080000.0,0.00%
09/18/2024,1545.0,1565.0,1580.0,1540.0,11190000.0,-1.28%
09/17/2024,1565.0,1540.0,1575.0,1540.0,8890000.0,1.62%
09/13/2024,1540.0,1550.0,1560.0,1530.0,10780000.0,-0.32%
09/12/2024,1545.0,1545.0,1565.0,1540.0,10410000.0,0.32%
09/11/2024,1540.0,1595.0,1595.0,1535.0,14370000.0,-2.22%
09/10/2024,1575.0,1590.0,1595.0,1570.0,9700000.0,-0.94%
09/09/2024,1590.0,1605.0,1610.0,1570.0,8630000.0,-0.93%
09/06/2024,1605.0,1615.0,1640.0,1585.0,17820000.0,-1.53%
09/05/2024,1630.0,1565.0,1630.0,1560.0,31620000.0,4.49%
09/04/2024,1560.0,1580.0,1585.0,1550.0,12110000.0,-1.27%
09/03/2024,1580.0,1540.0,1580.0,1525.0,19390000.0,2.93%
09/02/2024,1535.0,1595.0,1600.0,1525.0,26470000.0,-3.76%
08/30/2024,1595.0,1625.0,1640.0,1585.0,21050000.0,-1.24%
08/29/2024,1615.0,1640.0,1660.0,1610.0,19050000.0,-1.52%
08/28/2024,1640.0,1650.0,1665.0,1615.0,28000000.0,-0.61%
08/27/2024,1650.0,1585.0,1660.0,1585.0,44420000.0,4.10%
08/26/2024,1585.0,1585.0,1590.0,1575.0,6620000.0,0.32%
08/23/2024,1580.0,1585.0,1600.0,1580.0,11660000.0,-0.63%
08/22/2024,1590.0,1570.0,1600.0,1560.0,24970000.0,1.27%
08/21/2024,1570.0,1590.0,1615.0,1570.0,18870000.0,-1.26%
08/20/2024,1590.0,1590.0,1625.0,1590.0,22160000.0,0.00%
08/19/2024,1590.0,1600.0,1615.0,1580.0,20220000.0,-0.63%
08/16/2024,1600.0,1595.0,1610.0,1585.0,12930000.0,0.31%
08/15/2024,1595.0,1585.0,1620.0,1575.0,26050000.0,0.63%
08/14/2024,1585.0,1595.0,1605.0,1570.0,19310000.0,0.00%
08/13/2024,1585.0,1620.0,1630.0,1575.0,39070000.0,-2.16%
08/12/2024,1620.0,1600.0,1655.0,1595.0,38950000.0,1.57%
08/09/2024,1595.0,1665.0,1670.0,1585.0,35180000.0,-3.63%
08/08/2024,1655.0,1645.0,1680.0,1640.0,16379999.999999998,0.30%
08/07/2024,1650.0,1615.0,1680.0,1610.0,30550000.0,2.48%
08/06/2024,1610.0,1550.0,1610.0,1550.0,27630000.0,2.88%
08/05/2024,1565.0,1600.0,1620.0,1545.0,40930000.0,-2.19%
08/02/2024,1600.0,1585.0,1620.0,1560.0,22780000.0,-0.31%
08/01/2024,1605.0,1650.0,1665.0,1570.0,56340000.0,-2.13%
07/31/2024,1640.0,1530.0,1645.0,1525.0,52890000.0,6.49%
07/30/2024,1540.0,1660.0,1665.0,1505.0,85080000.0,-7.23%
07/29/2024,1660.0,1680.0,1715.0,1650.0,22420000.0,-0.90%
07/26/2024,1675.0,1700.0,1715.0,1675.0,7330000.0,-1.47%
07/25/2024,1700.0,1690.0,1750.0,1655.0,31190000.0,0.59%
07/24/2024,1690.0,1695.0,1695.0,1660.0,10550000.0,-0.29%
07/23/2024,1695.0,1690.0,1695.0,1675.0,7980000.0,0.30%
07/22/2024,1690.0,1685.0,1705.0,1660.0,12020000.0,0.30%
07/19/2024,1685.0,1700.0,1700.0,1650.0,15100000.0,-0.88%
07/18/2024,1700.0,1685.0,1710.0,1660.0,28580000.0,1.19%
07/17/2024,1680.0,1645.0,1680.0,1610.0,24630000.0,2.13%
07/16/2024,1645.0,1645.0,1650.0,1625.0,8690000.0,0.00%
07/15/2024,1645.0,1620.0,1645.0,1615.0,19890000.0,1.86%
07/12/2024,1615.0,1620.0,1625.0,1605.0,11780000.0,-0.31%
07/11/2024,1620.0,1555.0,1620.0,1550.0,41500000.0,4.18%
07/10/2024,1555.0,1575.0,1585.0,1550.0,9450000.0,-1.27%
07/09/2024,1575.0,1555.0,1585.0,1545.0,24250000.0,1.29%
07/08/2024,1555.0,1550.0,1560.0,1535.0,12470000.0,0.97%
07/05/2024,1540.0,1585.0,1585.0,1535.0,15750000.0,-1.28%
07/04/2024,1560.0,1475.0,1570.0,1475.0,49740000.0,5.76%
07/03/2024,1475.0,1455.0,1475.0,1445.0,12260000.0,1.72%
07/02/2024,1450.0,1470.0,1495.0,1450.0,15320000.0,-1.02%
07/01/2024,1465.0,1430.0,1465.0,1420.0,12780000.0,2.81%
06/28/2024,1425.0,1450.0,1460.0,1425.0,12310000.0,-1.72%
06/27/2024,1450.0,1455.0,1470.0,1445.0,13680000.0,0.00%
06/26/2024,1450.0,1425.0,1475.0,1420.0,13110000.0,1.75%
06/25/2024,1425.0,1460.0,1475.0,1410.0,11620000.0,-2.06%
06/24/2024,1455.0,1445.0,1490.0,1425.0,24280000.0,0.69%
06/21/2024,1445.0,1410.0,1445.0,1395.0,25860000.0,3.58%
06/20/2024,1395.0,1385.0,1425.0,1375.0,27850000.0,0.72%
06/19/2024,1385.0,1290.0,1400.0,1285.0,32840000.000000004,7.36%
06/14/2024,1290.0,1330.0,1330.0,1275.0,11220000.0,-3.01%
06/13/2024,1330.0,1330.0,1350.0,1315.0,4970000.0,0.00%
06/12/2024,1330.0,1335.0,1350.0,1290.0,14670000.0,-0.37%
06/11/2024,1335.0,1365.0,1380.0,1330.0,6680000.0,-2.20%
06/10/2024,1365.0,1360.0,1390.0,1355.0,12390000.0,0.37%
06/07/2024,1360.0,1335.0,1370.0,1320.0,18440000.0,1.87%
06/06/2024,1335.0,1365.0,1365.0,1325.0,13410000.0,-2.20%
06/05/2024,1365.0,1395.0,1395.0,1360.0,9900000.0,-2.15%
06/04/2024,1395.0,1365.0,1410.0,1355.0,24690000.0,2.20%
06/03/2024,1365.0,1375.0,1405.0,1365.0,23690000.0,-0.36%
05/31/2024,1370.0,1430.0,1445.0,1370.0,43800000.0,-3.86%
05/30/2024,1425.0,1400.0,1425.0,1355.0,23250000.0,1.79%
05/29/2024,1400.0,1375.0,1405.0,1340.0,15270000.0,1.82%
05/28/2024,1375.0,1395.0,1435.0,1375.0,10880000.0,-1.43%
05/27/2024,1395.0,1435.0,1440.0,1360.0,15850000.0,-2.79%
05/22/2024,1435.0,1420.0,1450.0,1400.0,17540000.0,1.06%
05/21/2024,1420.0,1460.0,1460.0,1415.0,13060000.0,-2.74%
05/20/2024,1460.0,1460.0,1470.0,1410.0,43700000.0,0.00%
05/17/2024,1460.0,1440.0,1475.0,1435.0,31030000.0,1.39%
05/16/2024,1440.0,1370.0,1455.0,1370.0,65390000.0,5.11%
05/15/2024,1370.0,1375.0,1395.0,1350.0,32979999.999999996,0.00%
05/14/2024,1370.0,1320.0,1385.0,1305.0,37690000.0,3.40%
05/13/2024,1325.0,1290.0,1340.0,1290.0,30330000.0,3.11%
05/08/2024,1285.0,1295.0,1305.0,1275.0,17460000.0,-0.77%
05/07/2024,1295.0,1275.0,1310.0,1265.0,22210000.0,1.57%
05/06/2024,1275.0,1240.0,1330.0,1220.0,65720000.0,4.94%
05/03/2024,1215.0,1180.0,1230.0,1170.0,37470000.0,4.74%
05/02/2024,1160.0,1170.0,1185.0,1135.0,27340000.0,1.31%
04/30/2024,1145.0,1120.0,1155.0,1105.0,11570000.0,1.78%
04/29/2024,1125.0,1090.0,1125.0,1080.0,7200000.0,3.21%
04/26/2024,1090.0,1150.0,1155.0,1085.0,6090000.0,-4.80%
04/25/2024,1145.0,1110.0,1155.0,1075.0,11080000.0,3.15%
04/24/2024,1110.0,1115.0,1120.0,1090.0,6630000.0,0.91%
04/23/2024,1100.0,1100.0,1130.0,1095.0,9960000.0,0.00%
04/22/2024,1100.0,1135.0,1135.0,1090.0,9140000.0,-3.08%
04/19/2024,1135.0,1145.0,1165.0,1115.0,16190000.000000002,-1.30%
04/18/2024,1150.0,1170.0,1170.0,1150.0,6950000.0,-1.29%
04/17/2024,1165.0,1205.0,1205.0,1150.0,21700000.0,-3.32%
04/16/2024,1205.0,1230.0,1230.0,1170.0,17120000.0,-2.03%
04/05/2024,1230.0,1245.0,1270.0,1215.0,12040000.0,-1.20%
04/04/2024,1245.0,1200.0,1250.0,1190.0,33980000.0,3.75%
04/03/2024,1200.0,1215.0,1230.0,1185.0,11120000.0,-0.83%
04/02/2024,1210.0,1165.0,1215.0,1165.0,21940000.0,2.11%
04/01/2024,1185.0,1190.0,1195.0,1145.0,13820000.0,-0.42%
03/28/2024,1190.0,1160.0,1190.0,1155.0,11980000.0,2.59%
03/27/2024,1160.0,1165.0,1170.0,1150.0,12290000.0,-0.43%
03/26/2024,1165.0,1190.0,1190.0,1150.0,17320000.0,-2.10%
03/25/2024,1190.0,1205.0,1215.0,1165.0,27660000.0,-1.24%
03/22/2024,1205.0,1245.0,1245.0,1205.0,7950000.0,-2.03%
03/21/2024,1230.0,1230.0,1245.0,1220.0,18500000.0,0.82%
03/20/2024,1220.0,1255.0,1255.0,1205.0,23080000.0,-2.79%
03/19/2024,1255.0,1200.0,1255.0,1200.0,38950000.0,4.58%
03/18/2024,1200.0,1205.0,1215.0,1190.0,9850000.0,0.00%
03/15/2024,1200.0,1220.0,1220.0,1200.0,22880000.0,0.00%
03/14/2024,1200.0,1205.0,1215.0,1200.0,8750000.0,0.00%
03/13/2024,1200.0,1215.0,1230.0,1190.0,18980000.0,-1.23%
03/08/2024,1215.0,1200.0,1250.0,1175.0,57450000.0,1.25%
03/07/2024,1200.0,1150.0,1210.0,1150.0,53790000.0,3.90%
03/06/2024,1155.0,1165.0,1175.0,1140.0,12620000.0,-0.86%
03/05/2024,1165.0,1200.0,1200.0,1150.0,17530000.0,-2.10%
03/04/2024,1190.0,1175.0,1200.0,1150.0,25550000.0,1.71%
03/01/2024,1170.0,1150.0,1185.0,1130.0,41510000.0,1.74%
02/29/2024,1150.0,1165.0,1170.0,1140.0,18740000.0,-0.86%
02/28/2024,1160.0,1160.0,1170.0,1145.0,13450000.0,0.00%
02/27/2024,1160.0,1150.0,1170.0,1140.0,30340000.0,0.87%
02/26/2024,1150.0,1115.0,1160.0,1105.0,48990000.0,4.07%
02/23/2024,1105.0,1105.0,1105.0,1095.0,6030000.0,0.45%
02/22/2024,1100.0,1085.0,1105.0,1080.0,8150000.0,1.38%
02/21/2024,1085.0,1090.0,1100.0,1080.0,8730000.0,-0.46%
02/20/2024,1090.0,1080.0,1100.0,1080.0,5390000.0,0.93%
02/19/2024,1080.0,1085.0,1095.0,1075.0,4610000.0,0.00%
02/16/2024,1080.0,1100.0,1105.0,1080.0,12970000.0,-1.37%
02/15/2024,1095.0,1075.0,1115.0,1075.0,20370000.0,1.86%
02/13/2024,1075.0,1085.0,1100.0,1075.0,9290000.0,-0.92%
02/12/2024,1085.0,1090.0,1100.0,1070.0,10120000.0,-0.46%
02/07/2024,1090.0,1135.0,1140.0,1090.0,11290000.0,-3.54%
02/06/2024,1130.0,1120.0,1135.0,1105.0,5360000.0,0.89%
02/05/2024,1120.0,1140.0,1140.0,1100.0,16370000.000000002,1.82%
02/02/2024,1100.0,1070.0,1105.0,1060.0,15660000.0,3.29%
02/01/2024,1065.0,1065.0,1075.0,1060.0,3490000.0,0.47%
01/31/2024,1060.0,1060.0,1075.0,1060.0,6660000.0,0.00%
01/30/2024,1060.0,1070.0,1075.0,1055.0,5420000.0,-0.47%
01/29/2024,1065.0,1075.0,1085.0,1055.0,3900000.0,-0.93%
01/26/2024,1075.0,1080.0,1085.0,1060.0,3110000.0,-0.46%
01/25/2024,1080.0,1070.0,1085.0,1060.0,6210000.0,1.41%
01/24/2024,1065.0,1080.0,1085.0,1055.0,7350000.0,-1.39%
01/23/2024,1080.0,1100.0,1100.0,1060.0,13950000.0,-1.37%
01/22/2024,1095.0,1130.0,1130.0,1095.0,8470000.0,-2.67%
01/19/2024,1125.0,1110.0,1130.0,1105.0,7270000.0,1.35%
01/18/2024,1110.0,1120.0,1130.0,1105.0,9100000.0,-0.89%
01/17/2024,1120.0,1135.0,1140.0,1105.0,9400000.0,-0.88%
01/16/2024,1130.0,1110.0,1140.0,1110.0,7160000.0,1.35%
01/15/2024,1115.0,1100.0,1125.0,1100.0,14140000.0,1.36%
01/12/2024,1100.0,1110.0,1120.0,1090.0,18040000.0,-0.90%
01/11/2024,1110.0,1120.0,1135.0,1105.0,13090000.0,-0.89%
01/10/2024,1120.0,1120.0,1140.0,1115.0,7540000.0,-0.44%
01/09/2024,1125.0,1145.0,1150.0,1115.0,10890000.0,-1.32%
01/08/2024,1140.0,1140.0,1155.0,1135.0,16950000.0,0.44%
01/05/2024,1135.0,1135.0,1155.0,1130.0,19690000.0,0.44%
01/04/2024,1130.0,1165.0,1170.0,1130.0,26920000.0,-2.59%
01/03/2024,1160.0,1175.0,1180.0,1160.0,7700000.0,-0.85%
01/02/2024,1170.0,1180.0,1190.0,1165.0,7950000.0,-0.85%
12/29/2023,1180.0,1180.0,1185.0,1170.0,6700000.0,0.00%
12/28/2023,1180.0,1190.0,1190.0,1175.0,9560000.0,-0.84%
12/27/2023,1190.0,1205.0,1210.0,1185.0,5120000.0,-0.42%
12/22/2023,1195.0,1190.0,1195.0,1185.0,2350000.0,0.42%
12/21/2023,1190.0,1195.0,1195.0,1180.0,3040000.0,0.00%
12/20/2023,1190.0,1195.0,1200.0,1190.0,2080000.0,-0.42%
12/19/2023,1195.0,1190.0,1200.0,1190.0,1940000.0,0.42%
12/18/2023,1190.0,1190.0,1205.0,1190.0,2320000.0,0.00%
12/15/2023,1190.0,1205.0,1220.0,1190.0,5610000.0,-1.24%
12/14/2023,1205.0,1200.0,1220.0,1195.0,9020000.0,0.42%
12/13/2023,1200.0,1195.0,1205.0,1185.0,6640000.0,0.42%
12/12/2023,1195.0,1185.0,1200.0,1180.0,5280000.0,0.84%
12/11/2023,1185.0,1210.0,1215.0,1175.0,12310000.0,-2.07%
12/08/2023,1210.0,1220.0,1225.0,1195.0,4660000.0,-0.82%
12/07/2023,1220.0,1225.0,1230.0,1205.0,8770000.0,-0.41%
12/06/2023,1225.0,1210.0,1235.0,1205.0,19040000.0,1.24%
12/05/2023,1210.0,1220.0,1220.0,1185.0,11940000.0,1.26%
12/04/2023,1195.0,1185.0,1215.0,1185.0,15310000.0,0.84%
12/01/2023,1185.0,1175.0,1195.0,1155.0,20590000.0,0.85%
11/30/2023,1175.0,1180.0,1190.0,1130.0,43220000.0,0.00%
11/29/2023,1175.0,1185.0,1195.0,1170.0,26060000.0,-0.84%
11/28/2023,1185.0,1210.0,1225.0,1180.0,33770000.0,-2.07%
11/27/2023,1210.0,1195.0,1230.0,1195.0,6200000.0,0.41%
11/24/2023,1205.0,1240.0,1245.0,1195.0,9030000.0,-2.82%
11/23/2023,1240.0,1215.0,1255.0,1210.0,17610000.0,2.06%
11/22/2023,1215.0,1185.0,1215.0,1180.0,11960000.0,2.53%
11/21/2023,1185.0,1195.0,1205.0,1180.0,13480000.0,-0.84%
11/20/2023,1195.0,1210.0,1230.0,1190.0,13750000.0,-1.24%
11/17/2023,1210.0,1200.0,1215.0,1195.0,5690000.0,0.41%
11/16/2023,1205.0,1210.0,1220.0,1195.0,9780000.0,-0.41%
11/15/2023,1210.0,1215.0,1240.0,1205.0,12540000.0,-0.41%
11/14/2023,1215.0,1195.0,1245.0,1195.0,17300000.0,1.67%
11/13/2023,1195.0,1205.0,1220.0,1195.0,9000000.0,-0.83%
11/10/2023,1205.0,1210.0,1215.0,1195.0,4480000.0,-0.41%
11/09/2023,1210.0,1210.0,1225.0,1200.0,10370000.0,0.41%
11/08/2023,1205.0,1220.0,1230.0,1200.0,10080000.0,-1.23%
11/07/2023,1220.0,1225.0,1250.0,1215.0,5740000.0,-2.01%
11/06/2023,1245.0,1240.0,1250.0,1215.0,6170000.0,2.47%
11/03/2023,1215.0,1210.0,1255.0,1210.0,11410000.0,1.25%
11/02/2023,1200.0,1185.0,1235.0,1185.0,25630000.0,1.69%
11/01/2023,1180.0,1240.0,1285.0,1180.0,24410000.0,-3.67%
10/31/2023,1225.0,1215.0,1225.0,1185.0,10090000.0,0.82%
10/30/2023,1215.0,1230.0,1235.0,1180.0,5730000.0,-0.82%
10/27/2023,1225.0,1215.0,1265.0,1210.0,15960000.0,0.82%
