Date,Price,Open,High,Low,Vol.,Change %
10/25/2024,7050.0,6975.0,7050.0,6975.0,34640000.0,1.08%
10/24/2024,6975.0,7000.0,7150.0,6975.0,65879999.99999999,-1.41%
10/23/2024,7075.0,7075.0,7125.0,7025.0,38220000.0,0.00%
10/22/2024,7075.0,7150.0,7175.0,7075.0,43580000.0,-1.74%
10/21/2024,7200.0,7250.0,7250.0,7125.0,43060000.0,0.35%
10/18/2024,7175.0,7275.0,7300.0,7175.0,57380000.0,-0.69%
10/17/2024,7225.0,7050.0,7250.0,7000.0,90220000.0,3.21%
10/16/2024,7000.0,7050.0,7075.0,6925.0,133020000.00000001,-0.71%
10/15/2024,7050.0,7000.0,7100.0,6925.0,90360000.0,1.81%
10/14/2024,6925.0,6925.0,6975.0,6900.0,55890000.0,-0.36%
10/11/2024,6950.0,7025.0,7025.0,6925.0,45330000.0,0.00%
10/10/2024,6950.0,6925.0,7050.0,6900.0,44290000.0,0.00%
10/09/2024,6950.0,7075.0,7175.0,6950.0,76520000.0,-1.77%
10/08/2024,7075.0,6825.0,7175.0,6775.0,132139999.99999999,2.91%
10/07/2024,6875.0,6925.0,6925.0,6800.0,103940000.0,-1.08%
10/04/2024,6950.0,7025.0,7050.0,6900.0,79490000.0,-1.42%
10/03/2024,7050.0,7000.0,7075.0,6900.0,86260000.0,1.08%
10/02/2024,6975.0,7025.0,7100.0,6925.0,91080000.0,-1.06%
10/01/2024,7050.0,7000.0,7075.0,6950.0,82690000.0,1.81%
09/30/2024,6925.0,7000.0,7025.0,6875.0,166200000.0,-1.77%
09/27/2024,7050.0,7025.0,7125.0,7000.0,161410000.0,-1.74%
09/26/2024,7175.0,7175.0,7200.0,7100.0,173040000.0,-0.35%
09/25/2024,7200.0,7350.0,7350.0,7050.0,192200000.0,-3.03%
09/24/2024,7425.0,7400.0,7475.0,7375.0,81820000.0,-0.34%
09/23/2024,7450.0,7325.0,7450.0,7300.0,79680000.0,2.05%
09/20/2024,7300.0,7400.0,7425.0,7300.0,97900000.0,-1.35%
09/19/2024,7400.0,7450.0,7550.0,7400.0,124380000.0,0.00%
09/18/2024,7400.0,7375.0,7450.0,7350.0,47280000.0,-0.34%
09/17/2024,7425.0,7325.0,7450.0,7300.0,96430000.0,2.06%
09/13/2024,7275.0,7300.0,7300.0,7225.0,45850000.0,-0.34%
09/12/2024,7300.0,7375.0,7425.0,7300.0,68250000.0,-1.02%
09/11/2024,7375.0,7300.0,7400.0,7275.0,91820000.0,1.72%
09/10/2024,7250.0,7250.0,7275.0,7225.0,73520000.0,0.00%
09/09/2024,7250.0,7250.0,7250.0,7200.0,71430000.0,0.00%
09/06/2024,7250.0,7175.0,7275.0,7150.0,63620000.0,1.05%
09/05/2024,7175.0,7125.0,7225.0,7125.0,59430000.0,0.00%
09/04/2024,7175.0,7000.0,7175.0,7000.0,78790000.0,1.41%
09/03/2024,7075.0,7200.0,7250.0,7050.0,75100000.0,-1.74%
09/02/2024,7200.0,7200.0,7275.0,7125.0,82180000.0,1.05%
08/30/2024,7125.0,7100.0,7175.0,7075.0,153760000.0,0.35%
08/29/2024,7100.0,7300.0,7300.0,7100.0,94480000.0,-1.73%
08/28/2024,7225.0,7025.0,7225.0,7000.0,114610000.0,2.85%
08/27/2024,7025.0,7025.0,7050.0,6925.0,91690000.0,-0.35%
08/26/2024,7050.0,7050.0,7100.0,7000.0,78520000.0,0.00%
08/23/2024,7050.0,7000.0,7075.0,6975.0,111750000.0,0.00%
08/22/2024,7050.0,7150.0,7175.0,6925.0,157320000.0,-2.76%
08/21/2024,7250.0,7300.0,7300.0,7225.0,88490000.0,0.69%
08/20/2024,7200.0,7200.0,7350.0,7150.0,102620000.0,0.70%
08/19/2024,7150.0,7075.0,7150.0,7025.0,50250000.0,1.06%
08/16/2024,7075.0,7075.0,7125.0,7025.0,64269999.99999999,0.71%
08/15/2024,7025.0,7075.0,7075.0,6925.0,75960000.0,-0.71%
08/14/2024,7075.0,7075.0,7100.0,7025.0,97700000.0,1.07%
08/13/2024,7000.0,6850.0,7000.0,6850.0,68670000.0,1.45%
08/12/2024,6900.0,6875.0,6900.0,6775.0,50760000.0,0.73%
08/09/2024,6850.0,6825.0,6900.0,6800.0,79710000.0,0.74%
08/08/2024,6800.0,6800.0,6850.0,6725.0,81410000.0,0.37%
08/07/2024,6775.0,6725.0,6775.0,6650.0,84630000.0,2.26%
08/06/2024,6625.0,6650.0,6700.0,6525.0,95790000.0,0.76%
08/05/2024,6575.0,6700.0,6725.0,6500.0,184380000.0,-3.31%
08/02/2024,6800.0,6700.0,6875.0,6675.0,167890000.0,0.74%
08/01/2024,6750.0,6550.0,6750.0,6500.0,163090000.0,5.47%
07/31/2024,6400.0,6400.0,6475.0,6375.0,99000000.0,-1.16%
07/30/2024,6475.0,6475.0,6550.0,6375.0,87540000.0,0.00%
07/29/2024,6475.0,6550.0,6550.0,6450.0,54440000.0,-1.15%
07/26/2024,6550.0,6575.0,6625.0,6500.0,76520000.0,-0.38%
07/25/2024,6575.0,6450.0,6575.0,6400.0,66660000.0,1.54%
07/24/2024,6475.0,6500.0,6575.0,6475.0,63940000.0,-2.26%
07/23/2024,6625.0,6750.0,6750.0,6550.0,77860000.0,-1.12%
07/22/2024,6700.0,6575.0,6700.0,6525.0,110470000.0,2.68%
07/19/2024,6525.0,6500.0,6525.0,6450.0,63170000.0,-0.38%
07/18/2024,6550.0,6550.0,6600.0,6500.0,132530000.0,1.55%
07/17/2024,6450.0,6450.0,6525.0,6375.0,109730000.0,1.57%
07/16/2024,6350.0,6400.0,6400.0,6300.0,64690000.0,0.00%
07/15/2024,6350.0,6450.0,6450.0,6300.0,66069999.99999999,-1.17%
07/12/2024,6425.0,6450.0,6550.0,6400.0,146670000.0,0.39%
07/11/2024,6400.0,6400.0,6425.0,6350.0,66800000.0,0.39%
07/10/2024,6375.0,6375.0,6450.0,6300.0,59690000.0,0.00%
07/09/2024,6375.0,6225.0,6400.0,6200.0,84180000.0,2.41%
07/08/2024,6225.0,6400.0,6425.0,6200.0,138140000.0,-3.11%
07/05/2024,6425.0,6325.0,6500.0,6300.0,111650000.0,2.80%
07/04/2024,6250.0,6250.0,6400.0,6225.0,90150000.0,0.40%
07/03/2024,6225.0,6275.0,6300.0,6100.0,70020000.0,0.40%
07/02/2024,6200.0,6275.0,6350.0,6150.0,159360000.0,-0.80%
07/01/2024,6250.0,6175.0,6250.0,6100.0,100410000.0,1.63%
06/28/2024,6150.0,6000.0,6250.0,6000.0,191370000.0,2.50%
06/27/2024,6000.0,5900.0,6075.0,5875.0,117600000.0,2.56%
06/26/2024,5850.0,5950.0,6025.0,5850.0,92900000.0,-1.27%
06/25/2024,5925.0,5925.0,5975.0,5825.0,159980000.0,-1.25%
06/24/2024,6000.0,6075.0,6125.0,6000.0,58830000.0,-2.04%
06/21/2024,6125.0,6050.0,6200.0,6025.0,188720000.0,2.94%
06/20/2024,5950.0,5825.0,5950.0,5750.0,82660000.0,3.48%
06/19/2024,5750.0,5775.0,5850.0,5675.0,116000000.0,0.00%
06/14/2024,5750.0,5850.0,5875.0,5650.0,203240000.0,-2.13%
06/13/2024,5875.0,5975.0,6000.0,5850.0,162620000.0,-0.84%
06/12/2024,5925.0,6050.0,6075.0,5900.0,120860000.0,-3.27%
06/11/2024,6125.0,6200.0,6250.0,6125.0,56250000.0,-2.39%
06/10/2024,6275.0,6275.0,6350.0,6200.0,80150000.0,0.00%
06/07/2024,6275.0,6250.0,6275.0,6150.0,99090000.0,1.62%
06/06/2024,6175.0,6125.0,6200.0,6075.0,85740000.0,2.92%
06/05/2024,6000.0,6125.0,6150.0,5975.0,105170000.0,-2.44%
06/04/2024,6150.0,6150.0,6275.0,6125.0,137800000.0,0.82%
06/03/2024,6100.0,6075.0,6150.0,6025.0,92530000.0,3.39%
05/31/2024,5900.0,6000.0,6025.0,5900.0,169570000.0,0.43%
05/30/2024,5875.0,5775.0,6000.0,5525.0,236630000.0,1.29%
05/29/2024,5800.0,5825.0,5875.0,5700.0,169390000.0,-2.52%
05/28/2024,5950.0,5850.0,6025.0,5825.0,93700000.0,2.15%
05/27/2024,5825.0,6025.0,6050.0,5825.0,258450000.0,-3.72%
05/22/2024,6050.0,6000.0,6150.0,5950.0,171680000.0,0.41%
05/21/2024,6025.0,6225.0,6275.0,5975.0,308550000.0,-4.74%
05/20/2024,6325.0,6550.0,6625.0,6200.0,168800000.0,-3.80%
05/17/2024,6575.0,6350.0,6650.0,6350.0,133150000.0,3.54%
05/16/2024,6350.0,6450.0,6500.0,6325.0,114810000.0,-0.39%
05/15/2024,6375.0,6200.0,6400.0,6200.0,80920000.0,2.82%
05/14/2024,6200.0,6175.0,6300.0,6175.0,94050000.0,0.00%
